iter	Logloss
0	0.6862274012
1	0.68044029
2	0.6736635022
3	0.6652548235
4	0.6576705375
5	0.6501674058
6	0.6423532223
7	0.635545034
8	0.6297555636
9	0.6225796553
10	0.6163563128
11	0.6107578727
12	0.6050459237
13	0.6017021044
14	0.5945607051
15	0.5898855593
16	0.5837769275
17	0.5791882191
18	0.5724010354
19	0.5659875481
20	0.560878586
21	0.5556503356
22	0.5497814238
23	0.5456771172
24	0.5399104716
25	0.5334678557
26	0.5285950835
27	0.523462033
28	0.5189714902
29	0.514062287
30	0.5101562746
31	0.505883322
32	0.5026004979
33	0.4985329928
34	0.4936018599
35	0.4889904245
36	0.4845187099
37	0.4797460884
38	0.4751956819
39	0.4723583862
40	0.4684798131
41	0.4654302226
42	0.4622159389
43	0.4579307741
44	0.4543197605
45	0.4505246414
46	0.4467152709
47	0.4425588894
48	0.4407371769
49	0.4367108148
50	0.4339079177
51	0.4309112468
52	0.4278703879
53	0.4248805869
54	0.4214056878
55	0.4181038248
56	0.4150085667
57	0.4120801512
58	0.4097900025
59	0.4062202406
60	0.40386706
61	0.399923887
62	0.3977531958
63	0.3953864424
64	0.392644305
65	0.3905955816
66	0.3871894289
67	0.3844601573
68	0.3813473381
69	0.3777081242
70	0.3752191413
71	0.3725890417
72	0.3696929285
73	0.3672490019
74	0.3645414432
75	0.3630465344
76	0.3614371419
77	0.3593283667
78	0.3574059195
79	0.3557382359
80	0.3528961789
81	0.350828425
82	0.3482449184
83	0.347149846
84	0.345223797
85	0.3429781242
86	0.3411790829
87	0.33918406
88	0.336849675
89	0.3344764146
90	0.3321188001
91	0.3300620357
92	0.3279064009
93	0.3257669188
94	0.3239857271
95	0.32221348
96	0.3213393108
97	0.3198258182
98	0.3185094272
99	0.31764775
100	0.3157751224
101	0.3138702653
102	0.3121493097
103	0.310408394
104	0.309151327
105	0.3065960935
106	0.3047193539
107	0.3032630899
108	0.3005588004
109	0.2998534095
110	0.2986951338
111	0.2969124214
112	0.2955262934
113	0.2939865506
114	0.2932416651
115	0.2910098323
116	0.2899268822
117	0.288277053
118	0.2877047871
119	0.2866925252
120	0.285611368
121	0.2838255474
122	0.2827269447
123	0.2811321137
124	0.2794905642
125	0.2785311203
126	0.2768386435
127	0.2756736723
128	0.2739478033
129	0.2722556246
130	0.2708399082
131	0.2700530393
132	0.268555447
133	0.266834143
134	0.2665423827
135	0.2657521818
136	0.264976559
137	0.2645869217
138	0.2636674834
139	0.2628371501
140	0.2613416368
141	0.2603428554
142	0.2598101482
143	0.2579216799
144	0.2566149362
145	0.2559322524
146	0.2547408106
147	0.2537624566
148	0.2529229637
149	0.2518334668
150	0.2508183841
151	0.2499205613
152	0.2485820896
153	0.2478885798
154	0.2468302918
155	0.2458192257
156	0.2450347394
157	0.243874584
158	0.2422688749
159	0.2415810863
160	0.2409475607
161	0.2404043494
162	0.2397021463
163	0.2392481892
164	0.2380449285
165	0.23655652
166	0.2359092456
167	0.2348892328
168	0.2337010681
169	0.2323217601
170	0.2316429559
171	0.2314946533
172	0.2305512348
173	0.2300910077
174	0.2295119655
175	0.2289385509
176	0.2279819926
177	0.227189964
178	0.2268682505
179	0.2261620916
180	0.2254598089
181	0.2244529814
182	0.2241165904
183	0.2235862743
184	0.2230188972
185	0.2226840908
186	0.2221867149
187	0.2213288817
188	0.2200046048
189	0.2195323402
190	0.219240432
191	0.2188568174
192	0.2184788602
193	0.2178930468
194	0.2173077373
195	0.2163139489
196	0.2154203523
197	0.2151989041
198	0.2145534512
199	0.214030985
200	0.2133277324
201	0.212775408
202	0.2117054425
203	0.2107495893
204	0.2099273375
205	0.2090935879
206	0.2084741731
207	0.2080291821
208	0.2078088924
209	0.2071892413
210	0.2068291799
211	0.2061362333
212	0.2050714545
213	0.2043602476
214	0.2041076469
215	0.203755586
216	0.2032034052
217	0.2027158191
218	0.2019682359
219	0.2014229533
220	0.2011123309
221	0.2007892456
222	0.2005078162
223	0.2003173489
224	0.1991492049
225	0.1984497279
226	0.1976894702
227	0.1968771621
228	0.1961967236
229	0.1956981145
230	0.1950200869
231	0.1948009618
232	0.1942188292
233	0.194018506
234	0.1932177083
235	0.1926866297
236	0.1925410793
237	0.1916955473
238	0.190908262
239	0.1907116355
240	0.1899422819
241	0.1897890424
242	0.1894555209
243	0.1891968116
244	0.1886934207
245	0.1882032272
246	0.1880919331
247	0.1876949857
248	0.1869940069
249	0.1861708516
250	0.1856467952
251	0.185418366
252	0.1848327004
253	0.1841567847
254	0.183455402
255	0.1830383372
256	0.1826563081
257	0.1821164865
258	0.1819050992
259	0.1815160517
260	0.1811355341
261	0.1809380268
262	0.1801611425
263	0.1798195857
264	0.1794572361
265	0.1791017325
266	0.1786080739
267	0.1781833577
268	0.1780046571
269	0.1773441186
270	0.1766243764
271	0.1760592994
272	0.1758935449
273	0.1753288554
274	0.1747996543
275	0.1743845417
276	0.1739942183
277	0.1737709441
278	0.1733256386
279	0.1725347051
280	0.1720018466
281	0.1717416946
282	0.171236628
283	0.1709221724
284	0.1708103941
285	0.1702354027
286	0.1698278439
287	0.1696091994
288	0.1693741146
289	0.1692036424
290	0.1687004305
291	0.1683987483
292	0.1681396595
293	0.1678338452
294	0.167646031
295	0.167270276
296	0.1667503262
297	0.1664129698
298	0.1660929962
299	0.1657891454
300	0.1655654009
301	0.1652960773
302	0.1645997974
303	0.1644099897
304	0.1641352544
305	0.1637226258
306	0.1635199723
307	0.1633697927
308	0.163145028
309	0.162457527
310	0.1619743435
311	0.1617949639
312	0.1613032259
313	0.1610506829
314	0.1606083776
315	0.1602340316
316	0.1599598442
317	0.1594956598
318	0.1591076994
319	0.1589047036
320	0.158506293
321	0.1582309031
322	0.1580000272
323	0.157876755
324	0.1575227619
325	0.1572254416
326	0.1565019968
327	0.1557953974
328	0.1556781621
329	0.1552927476
330	0.154905531
331	0.1544083453
332	0.1543059296
333	0.1541640044
334	0.1539389565
335	0.1537380285
336	0.1535310788
337	0.1533338377
338	0.1527432925
339	0.1522305385
340	0.1520108028
341	0.1517785915
342	0.1516708632
343	0.1513508925
344	0.1510631969
345	0.1504766087
346	0.1501501449
347	0.149805087
348	0.1495961264
349	0.1493567743
350	0.1490779386
351	0.1485751538
352	0.1483302155
353	0.1481883843
354	0.1480470335
355	0.1478223332
356	0.1475974068
357	0.1475041328
358	0.1470938327
359	0.1469174965
360	0.1468109863
361	0.1466514847
362	0.1463675712
363	0.1461325318
364	0.1459440624
365	0.1456112194
366	0.1453640414
367	0.1451183797
368	0.1448506338
369	0.1446621204
370	0.1445034909
371	0.1442499753
372	0.1439458205
373	0.1435329766
374	0.1432537865
375	0.1430435163
376	0.1428657984
377	0.1426704761
378	0.1424750291
379	0.1422336153
380	0.1417058235
381	0.1415426608
382	0.1412430518
383	0.1411046516
384	0.140974851
385	0.1407320738
386	0.1405039202
387	0.1400906465
388	0.1397315392
389	0.139479741
390	0.1393659529
391	0.1390671852
392	0.1386714995
393	0.1383668723
394	0.1381645566
395	0.1380823538
396	0.1378301141
397	0.1375933312
398	0.1373779675
399	0.136994546
400	0.1366871793
401	0.1365647344
402	0.1364299659
403	0.1361544251
404	0.135872175
405	0.1356792827
406	0.1353983895
407	0.1351943496
408	0.1349952823
409	0.1348660892
410	0.1345460985
411	0.1344545433
412	0.1339195502
413	0.1338002064
414	0.1335922085
415	0.1334628441
416	0.1330570718
417	0.1328111062
418	0.1327069161
419	0.132514015
420	0.1319935699
421	0.1316783708
422	0.1313189386
423	0.1310574348
424	0.1308531542
425	0.1305962784
426	0.1302571534
427	0.130008184
428	0.1295718231
429	0.1294435468
430	0.1290242602
431	0.1288667023
432	0.1287071997
433	0.1285374794
434	0.1284395923
435	0.1282666285
436	0.1281875531
437	0.1280032228
438	0.1278126016
439	0.1275312653
440	0.127412013
441	0.1272466743
442	0.1270466126
443	0.1268859069
444	0.1264571496
445	0.1263393991
446	0.1262146704
447	0.1260386297
448	0.1258668315
449	0.1255597632
450	0.1252586146
451	0.1251099337
452	0.1249991816
453	0.1248454361
454	0.124586747
455	0.1244745623
456	0.1241427482
457	0.1239664136
458	0.1236652484
459	0.1234126847
460	0.1231260388
461	0.1229493825
462	0.1227654305
463	0.1223650904
464	0.1221618777
465	0.121962323
466	0.1218401479
467	0.1214018993
468	0.1211369198
469	0.1208860709
470	0.1206497953
471	0.1204096887
472	0.1202683903
473	0.1201806994
474	0.1198955394
475	0.119657593
476	0.1194867931
477	0.1192179374
478	0.1190667707
479	0.1188990923
480	0.1187529617
481	0.1186384446
482	0.1184990655
483	0.1181739199
484	0.117989851
485	0.1177054628
486	0.1175192204
487	0.1173839559
488	0.117250483
489	0.1170075506
490	0.1168466119
491	0.1167132521
492	0.1164246611
493	0.1161861887
494	0.1159045056
495	0.1157427928
496	0.1155669731
497	0.1154136675
498	0.1153362794
499	0.1149783258
500	0.1148205721
501	0.1145591762
502	0.1144327645
503	0.1141709351
504	0.1140422127
505	0.1138275024
506	0.1135142902
507	0.1134017926
508	0.1132891618
509	0.1132245925
510	0.1131345884
511	0.1129366764
512	0.1126222559
513	0.1124843203
514	0.1122655148
515	0.1120675816
516	0.1119829743
517	0.1119001533
518	0.1116313018
519	0.1113965835
520	0.111085607
521	0.1109404587
522	0.1107749331
523	0.1105451774
524	0.1104639384
525	0.1103979961
526	0.1101171167
527	0.1099819607
528	0.1098900415
529	0.1098410826
530	0.1096819515
531	0.1093755772
532	0.1092397666
533	0.1091481667
534	0.1090158798
535	0.1088854726
536	0.1086020838
537	0.1085204983
538	0.1082778985
539	0.1080558665
540	0.1079497562
541	0.1077002657
542	0.1075275221
543	0.1073437476
544	0.1071781285
545	0.1070133857
546	0.1067817135
547	0.1066024369
548	0.1064506427
549	0.1062192649
550	0.1061227604
551	0.106065131
552	0.1059708956
553	0.1057533303
554	0.1056789456
555	0.1056235346
556	0.1053863536
557	0.105327126
558	0.1050865417
559	0.1048732051
560	0.1045133871
561	0.1043541055
562	0.1042220305
563	0.1038830119
564	0.1037669909
565	0.1036355014
566	0.1034093537
567	0.1030987637
568	0.1029858318
569	0.1027832556
570	0.1027346162
571	0.1026553147
572	0.1023453488
573	0.1020970885
574	0.1018489618
575	0.1017639817
576	0.1017035924
577	0.1016246293
578	0.1013671112
579	0.1013216919
580	0.1011325317
581	0.1009910371
582	0.1007009409
583	0.1005746436
584	0.1002061369
585	0.1001161707
586	0.09989428983
587	0.09975106556
588	0.09953548477
589	0.09945949375
590	0.09935300924
591	0.09910023545
592	0.09905118144
593	0.09893446286
594	0.09882587892
595	0.09863072476
596	0.09851100267
597	0.09829006439
598	0.09815647941
599	0.09799285913
600	0.09795181508
601	0.09772203377
602	0.09757404443
603	0.09733981784
604	0.09718216569
605	0.0969486534
606	0.09668417372
607	0.09652736959
608	0.09647668329
609	0.09621116696
610	0.09598613606
611	0.09578155803
612	0.09557967704
613	0.09545732908
614	0.0953517295
615	0.09516486398
616	0.09510697102
617	0.09495298435
618	0.0948250201
619	0.09466836683
620	0.09447875539
621	0.09439588352
622	0.09424667186
623	0.09403510707
624	0.09386430576
625	0.09378848106
626	0.09359623213
627	0.09353728381
628	0.09345468212
629	0.09337534344
630	0.09308380047
631	0.09291091671
632	0.0927461432
633	0.0925401272
634	0.09245006214
635	0.09234509175
636	0.09218131994
637	0.09204963937
638	0.09191391016
639	0.09182589109
640	0.09174589561
641	0.09148950159
642	0.09139014904
643	0.09120127339
644	0.09114497413
645	0.09095165604
646	0.09092017916
647	0.09059162602
648	0.09047400986
649	0.09031788055
650	0.09013153607
651	0.08996883042
652	0.08991124141
653	0.08973681212
654	0.08961632606
655	0.08952577095
656	0.08935403371
657	0.08926631188
658	0.08914072729
659	0.0890681373
660	0.08896552096
661	0.0888620724
662	0.08877468678
663	0.0887058925
664	0.08854399241
665	0.08837542182
666	0.0882583137
667	0.08807090258
668	0.08794234099
669	0.08768193574
