iter	Passed	Remaining
0	2	134
1	4	137
2	7	136
3	10	147
4	16	176
5	19	177
6	22	173
7	26	173
8	33	188
9	36	182
10	39	175
11	43	173
12	46	169
13	50	164
14	55	165
15	60	165
16	63	159
17	66	154
18	69	149
19	73	147
20	79	148
21	83	143
22	86	138
23	92	138
24	98	137
25	101	133
26	107	131
27	112	128
28	116	124
29	120	120
30	125	117
31	128	112
32	134	110
33	144	110
34	147	105
35	159	106
36	166	103
37	173	100
38	179	96
39	181	90
40	184	85
41	190	81
42	193	76
43	196	71
44	198	66
45	201	61
46	203	56
47	206	51
48	208	46
49	209	41
50	211	37
51	213	32
52	214	28
53	215	23
54	218	19
55	223	15
56	228	12
57	230	7
58	232	3
59	234	0
