iter	RMSE
0	2.8036733
1	2.756946957
2	2.716360275
3	2.674930744
4	2.636169062
5	2.607377522
6	2.579594129
7	2.549112748
8	2.525502815
9	2.501671374
10	2.477694406
11	2.458999151
12	2.442945869
13	2.429360754
14	2.415695057
15	2.401503201
16	2.387422142
17	2.375857403
18	2.36129539
19	2.346985247
20	2.337698418
21	2.324467826
22	2.313549273
23	2.3068227
24	2.297613744
25	2.285710281
26	2.274490222
27	2.264684386
28	2.258412971
29	2.253811615
30	2.249383663
31	2.24470945
32	2.238554659
33	2.233275124
34	2.22705677
35	2.223436641
36	2.217926693
37	2.210061682
38	2.203705998
39	2.198367479
40	2.194169139
41	2.189250215
42	2.183887208
43	2.179276206
44	2.175269466
45	2.169788721
46	2.16642311
47	2.161890719
48	2.158608083
49	2.156313957
50	2.149933923
51	2.147147237
52	2.143935175
53	2.139900894
54	2.136651299
55	2.133163138
56	2.129492693
57	2.126780541
58	2.124232729
59	2.122079688
60	2.119869168
61	2.115831472
62	2.113171132
63	2.109283171
64	2.104576281
65	2.101727251
66	2.097385985
67	2.095201743
68	2.092589172
69	2.090551551
70	2.088038829
71	2.08554247
72	2.082696045
73	2.08059231
74	2.07526817
75	2.072908727
76	2.069974848
77	2.0672155
78	2.064560638
79	2.062427336
80	2.061011643
81	2.058356677
82	2.055210391
83	2.053510739
84	2.051368811
85	2.050045536
86	2.048046815
87	2.042697332
88	2.039956276
89	2.037925868
90	2.034464372
91	2.029411807
92	2.025657028
93	2.023604036
94	2.02242074
95	2.020207754
96	2.017737914
97	2.014744594
98	2.012904498
99	2.010706137
100	2.006249025
101	2.002931266
102	2.000475927
103	1.998142337
104	1.996358007
105	1.993905733
106	1.992137446
107	1.989674534
108	1.987189518
109	1.984628443
110	1.981393389
111	1.979077419
112	1.977035399
113	1.975782674
114	1.974402847
115	1.970841895
116	1.968313919
117	1.96616367
118	1.964092354
119	1.962307997
120	1.958418017
121	1.956231677
122	1.953678686
123	1.951416208
124	1.948964349
125	1.94633649
126	1.944566778
127	1.942500289
