,date,index
0,2020-03-02,0.6
1,2020-03-03,0.5
2,2020-03-04,0.5
3,2020-03-05,0.5
4,2020-03-06,0.5
5,2020-03-07,2
6,2020-03-08,2.5
7,2020-03-09,2.6
8,2020-03-10,0.6
9,2020-03-11,0.5
10,2020-03-12,0.6
11,2020-03-13,0.6
12,2020-03-14,2
13,2020-03-15,2.7
14,2020-03-16,0.7
15,2020-03-17,0.7
16,2020-03-18,0.9
17,2020-03-19,1
18,2020-03-20,1
19,2020-03-21,2.4
20,2020-03-22,2.9
21,2020-03-23,1.2
22,2020-03-24,1.2
23,2020-03-25,1.1
24,2020-03-26,1.2
25,2020-03-27,1.2
26,2020-03-28,2.8
27,2020-03-29,3.4
28,2020-03-30,2.8
29,2020-03-31,3
30,2020-04-01,3.4
31,2020-04-02,3.5
32,2020-04-03,3.4
33,2020-04-04,3.8
34,2020-04-05,4
35,2020-04-06,3
36,2020-04-07,2.9
37,2020-04-08,2.9
38,2020-04-09,2.8
39,2020-04-10,2.7
40,2020-04-11,3.4
41,2020-04-12,3.7
42,2020-04-13,2.6
43,2020-04-14,2.6
44,2020-04-15,2.6
45,2020-04-16,2.6
46,2020-04-17,2.6
47,2020-04-18,3.3
48,2020-04-19,3.6
49,2020-04-20,2.6
50,2020-04-21,2.5
51,2020-04-22,2.5
52,2020-04-23,2.5
53,2020-04-24,2.4
54,2020-04-25,3.1
55,2020-04-26,3.4
56,2020-04-27,2.3
57,2020-04-28,2.2
58,2020-04-29,2.2
59,2020-04-30,2.1
60,2020-05-01,3
61,2020-05-02,3
62,2020-05-03,3.2
63,2020-05-04,2.8
64,2020-05-05,2.8
65,2020-05-06,2
66,2020-05-07,2
67,2020-05-08,2
68,2020-05-09,2.9
69,2020-05-10,3.1
70,2020-05-11,2.8
71,2020-05-12,1.8
72,2020-05-13,1.8
73,2020-05-14,1.8
74,2020-05-15,1.7
75,2020-05-16,2.6
76,2020-05-17,2.9
77,2020-05-18,1.7
78,2020-05-19,1.7
79,2020-05-20,1.7
80,2020-05-21,1.7
81,2020-05-22,1.6
82,2020-05-23,2.5
83,2020-05-24,2.8
84,2020-05-25,1.6
85,2020-05-26,1.5
86,2020-05-27,1.4
87,2020-05-28,1.4
