Категория: Все категории

Неделя,Первый канал: (Россия)
2018-01-07,14
2018-01-14,15
2018-01-21,10
2018-01-28,12
2018-02-04,14
2018-02-11,26
2018-02-18,30
2018-02-25,29
2018-03-04,15
2018-03-11,13
2018-03-18,20
2018-03-25,23
2018-04-01,13
2018-04-08,13
2018-04-15,12
2018-04-22,11
2018-04-29,12
2018-05-06,26
2018-05-13,22
2018-05-20,10
2018-05-27,10
2018-06-03,17
2018-06-10,65
2018-06-17,69
2018-06-24,79
2018-07-01,100
2018-07-08,30
2018-07-15,22
2018-07-22,12
2018-07-29,10
2018-08-05,10
2018-08-12,10
2018-08-19,9
2018-08-26,12
2018-09-02,13
2018-09-09,10
2018-09-16,10
2018-09-23,11
2018-09-30,11
2018-10-07,15
2018-10-14,16
2018-10-21,12
2018-10-28,26
2018-11-04,23
2018-11-11,22
2018-11-18,17
2018-11-25,13
2018-12-02,13
2018-12-09,14
2018-12-16,15
2018-12-23,13
2018-12-30,51
2019-01-06,22
2019-01-13,20
2019-01-20,19
2019-01-27,13
2019-02-03,13
2019-02-10,12
2019-02-17,15
2019-02-24,14
2019-03-03,12
2019-03-10,16
2019-03-17,25
2019-03-24,12
2019-03-31,11
2019-04-07,9
2019-04-14,13
2019-04-21,11
2019-04-28,10
2019-05-05,21
2019-05-12,16
2019-05-19,37
2019-05-26,16
2019-06-02,12
2019-06-09,14
2019-06-16,12
2019-06-23,9
2019-06-30,10
2019-07-07,8
2019-07-14,8
2019-07-21,8
2019-07-28,11
2019-08-04,9
2019-08-11,8
2019-08-18,10
2019-08-25,10
2019-09-01,53
2019-09-08,20
2019-09-15,10
2019-09-22,11
2019-09-29,11
2019-10-06,15
2019-10-13,15
2019-10-20,14
2019-10-27,14
2019-11-03,16
2019-11-10,20
2019-11-17,18
2019-11-24,14
2019-12-01,18
2019-12-08,15
2019-12-15,14
2019-12-22,12
2019-12-29,58
2020-01-05,21
2020-01-12,14
2020-01-19,15
2020-01-26,13
2020-02-02,13
2020-02-09,15
2020-02-16,13
2020-02-23,14
2020-03-01,17
2020-03-08,15
2020-03-15,15
2020-03-22,23
2020-03-29,31
2020-04-05,17
2020-04-12,19
2020-04-19,12
2020-04-26,18
2020-05-03,21
2020-05-10,13
2020-05-17,9
2020-05-24,9
2020-05-31,10
2020-06-07,10
2020-06-14,9
2020-06-21,13
2020-06-28,9
2020-07-05,8
2020-07-12,9
2020-07-19,8
2020-07-26,9
2020-08-02,9
2020-08-09,10
2020-08-16,8
2020-08-23,9
2020-08-30,13
2020-09-06,13
2020-09-13,10
2020-09-20,9
2020-09-27,9
2020-10-04,13
2020-10-11,16
2020-10-18,14
2020-10-25,12
2020-11-01,13
2020-11-08,15
2020-11-15,20
2020-11-22,12
2020-11-29,11
2020-12-06,12
2020-12-13,16
2020-12-20,17
2020-12-27,20
