Категория: Все категории

Неделя,СТС: (Россия)
2018-01-07,59
2018-01-14,62
2018-01-21,47
2018-01-28,52
2018-02-04,49
2018-02-11,51
2018-02-18,56
2018-02-25,40
2018-03-04,64
2018-03-11,46
2018-03-18,46
2018-03-25,66
2018-04-01,58
2018-04-08,54
2018-04-15,52
2018-04-22,47
2018-04-29,67
2018-05-06,44
2018-05-13,41
2018-05-20,43
2018-05-27,41
2018-06-03,43
2018-06-10,43
2018-06-17,39
2018-06-24,35
2018-07-01,35
2018-07-08,43
2018-07-15,40
2018-07-22,40
2018-07-29,45
2018-08-05,41
2018-08-12,48
2018-08-19,62
2018-08-26,65
2018-09-02,65
2018-09-09,53
2018-09-16,57
2018-09-23,54
2018-09-30,55
2018-10-07,53
2018-10-14,53
2018-10-21,55
2018-10-28,74
2018-11-04,61
2018-11-11,53
2018-11-18,55
2018-11-25,47
2018-12-02,45
2018-12-09,44
2018-12-16,40
2018-12-23,38
2018-12-30,78
2019-01-06,56
2019-01-13,49
2019-01-20,52
2019-01-27,49
2019-02-03,49
2019-02-10,58
2019-02-17,50
2019-02-24,42
2019-03-03,53
2019-03-10,42
2019-03-17,37
2019-03-24,40
2019-03-31,46
2019-04-07,54
2019-04-14,47
2019-04-21,39
2019-04-28,43
2019-05-05,39
2019-05-12,33
2019-05-19,30
2019-05-26,29
2019-06-02,28
2019-06-09,33
2019-06-16,43
2019-06-23,37
2019-06-30,41
2019-07-07,39
2019-07-14,40
2019-07-21,39
2019-07-28,41
2019-08-04,44
2019-08-11,45
2019-08-18,45
2019-08-25,55
2019-09-01,45
2019-09-08,47
2019-09-15,43
2019-09-22,57
2019-09-29,56
2019-10-06,75
2019-10-13,70
2019-10-20,67
2019-10-27,78
2019-11-03,72
2019-11-10,73
2019-11-17,62
2019-11-24,64
2019-12-01,68
2019-12-08,59
2019-12-15,52
2019-12-22,52
2019-12-29,96
2020-01-05,100
2020-01-12,60
2020-01-19,66
2020-01-26,71
2020-02-02,62
2020-02-09,54
2020-02-16,49
2020-02-23,51
2020-03-01,46
2020-03-08,57
2020-03-15,48
2020-03-22,53
2020-03-29,64
2020-04-05,55
2020-04-12,61
2020-04-19,52
2020-04-26,48
2020-05-03,60
2020-05-10,42
2020-05-17,43
2020-05-24,41
2020-05-31,50
2020-06-07,44
2020-06-14,39
2020-06-21,39
2020-06-28,38
2020-07-05,40
2020-07-12,42
2020-07-19,46
2020-07-26,43
2020-08-02,41
2020-08-09,43
2020-08-16,41
2020-08-23,41
2020-08-30,48
2020-09-06,36
2020-09-13,53
2020-09-20,51
2020-09-27,48
2020-10-04,49
2020-10-11,47
2020-10-18,46
2020-10-25,56
2020-11-01,71
2020-11-08,59
2020-11-15,50
2020-11-22,46
2020-11-29,45
2020-12-06,45
2020-12-13,42
2020-12-20,47
2020-12-27,52
