Категория: Все категории

Неделя,тнт: (Россия)
2018-01-07,45
2018-01-14,41
2018-01-21,39
2018-01-28,38
2018-02-04,45
2018-02-11,49
2018-02-18,56
2018-02-25,44
2018-03-04,46
2018-03-11,60
2018-03-18,62
2018-03-25,72
2018-04-01,73
2018-04-08,75
2018-04-15,97
2018-04-22,100
2018-04-29,89
2018-05-06,79
2018-05-13,72
2018-05-20,75
2018-05-27,83
2018-06-03,77
2018-06-10,37
2018-06-17,30
2018-06-24,28
2018-07-01,25
2018-07-08,23
2018-07-15,25
2018-07-22,26
2018-07-29,27
2018-08-05,27
2018-08-12,40
2018-08-19,61
2018-08-26,82
2018-09-02,78
2018-09-09,72
2018-09-16,71
2018-09-23,70
2018-09-30,71
2018-10-07,66
2018-10-14,62
2018-10-21,69
2018-10-28,71
2018-11-04,74
2018-11-11,60
2018-11-18,66
2018-11-25,65
2018-12-02,66
2018-12-09,64
2018-12-16,57
2018-12-23,44
2018-12-30,53
2019-01-06,36
2019-01-13,28
2019-01-20,26
2019-01-27,27
2019-02-03,28
2019-02-10,31
2019-02-17,36
2019-02-24,36
2019-03-03,34
2019-03-10,34
2019-03-17,33
2019-03-24,37
2019-03-31,30
2019-04-07,32
2019-04-14,29
2019-04-21,29
2019-04-28,37
2019-05-05,29
2019-05-12,24
2019-05-19,26
2019-05-26,31
2019-06-02,25
2019-06-09,18
2019-06-16,20
2019-06-23,21
2019-06-30,21
2019-07-07,24
2019-07-14,25
2019-07-21,23
2019-07-28,21
2019-08-04,21
2019-08-11,20
2019-08-18,25
2019-08-25,36
2019-09-01,46
2019-09-08,39
2019-09-15,43
2019-09-22,40
2019-09-29,39
2019-10-06,39
2019-10-13,45
2019-10-20,39
2019-10-27,44
2019-11-03,45
2019-11-10,45
2019-11-17,37
2019-11-24,38
2019-12-01,38
2019-12-08,38
2019-12-15,39
2019-12-22,32
2019-12-29,42
2020-01-05,28
2020-01-12,22
2020-01-19,21
2020-01-26,19
2020-02-02,20
2020-02-09,20
2020-02-16,25
2020-02-23,22
2020-03-01,29
2020-03-08,33
2020-03-15,29
2020-03-22,39
2020-03-29,46
2020-04-05,33
2020-04-12,27
2020-04-19,29
2020-04-26,27
2020-05-03,30
2020-05-10,29
2020-05-17,27
2020-05-24,30
2020-05-31,24
2020-06-07,21
2020-06-14,21
2020-06-21,19
2020-06-28,19
2020-07-05,15
2020-07-12,16
2020-07-19,14
2020-07-26,15
2020-08-02,16
2020-08-09,17
2020-08-16,17
2020-08-23,22
2020-08-30,40
2020-09-06,44
2020-09-13,44
2020-09-20,37
2020-09-27,37
2020-10-04,42
2020-10-11,45
2020-10-18,44
2020-10-25,38
2020-11-01,43
2020-11-08,40
2020-11-15,50
2020-11-22,46
2020-11-29,33
2020-12-06,30
2020-12-13,27
2020-12-20,24
2020-12-27,21
