iter	RMSE
0	2.817484016
1	2.782450633
2	2.753059485
3	2.7197314
4	2.688129897
5	2.664049049
6	2.637538259
7	2.614491495
8	2.592085982
9	2.569610351
10	2.549012489
11	2.531757994
12	2.512119301
13	2.496492253
14	2.48178509
15	2.466140899
16	2.453174976
17	2.44059487
18	2.427119723
19	2.414639073
20	2.40441243
21	2.394884723
22	2.384614733
23	2.375575435
24	2.368110895
25	2.359720672
26	2.352637979
27	2.345225205
28	2.338354366
29	2.330096072
30	2.326078299
31	2.318968054
32	2.311795132
33	2.304401727
34	2.297976409
35	2.294107839
36	2.287698715
37	2.281056609
38	2.27515163
39	2.269116142
40	2.262337891
41	2.255860258
42	2.252590349
43	2.248782611
44	2.243806523
45	2.239089939
46	2.233622318
47	2.229442695
48	2.223133871
49	2.219988977
50	2.216296436
51	2.213741745
52	2.211207863
53	2.207653124
54	2.203980974
55	2.200604519
56	2.193733274
57	2.190388407
58	2.187313152
59	2.185279426
60	2.183411203
61	2.179100096
62	2.177213746
63	2.175384848
64	2.171162853
65	2.168791411
66	2.163275668
67	2.160282162
68	2.157837318
69	2.155996607
70	2.153185232
71	2.151399394
72	2.147909389
73	2.144757689
74	2.14031242
75	2.136715051
76	2.133893346
77	2.129967695
78	2.128150192
79	2.126169447
80	2.124864187
81	2.122528057
82	2.120260633
83	2.117437884
84	2.115563616
85	2.112289879
86	2.109079286
87	2.106247995
88	2.103448243
89	2.101741979
90	2.097699069
91	2.096019145
92	2.09319958
93	2.09143549
94	2.090434131
95	2.08755729
96	2.085907286
97	2.083709757
98	2.082202492
99	2.079623239
100	2.078012771
101	2.076566014
102	2.074181103
103	2.07202355
104	2.070386114
105	2.068628988
106	2.066576333
107	2.063703915
108	2.059647515
109	2.05597992
110	2.05366957
111	2.050825766
112	2.049037095
113	2.047547432
114	2.045608043
115	2.043477851
116	2.041074919
117	2.039722784
118	2.037777925
119	2.036236956
120	2.034573146
121	2.033034369
122	2.030659369
123	2.029419831
124	2.026319106
125	2.024427249
126	2.022330116
127	2.020766947
128	2.018828798
129	2.017083618
130	2.014231169
131	2.01261982
132	2.011478912
133	2.009696626
134	2.007816954
135	2.006020232
136	2.002610922
137	1.998593702
138	1.996907505
139	1.99364689
140	1.990850409
141	1.989786742
142	1.987102324
143	1.985650428
144	1.984153488
145	1.982546216
146	1.97912133
147	1.978473423
148	1.977382233
149	1.974759318
150	1.973503389
151	1.972339579
152	1.970771021
153	1.969374123
154	1.967723357
155	1.966607619
156	1.965213287
157	1.963353741
158	1.96208096
159	1.9602976
160	1.958281775
161	1.957234808
162	1.955430859
163	1.954061734
164	1.952680546
165	1.951374864
166	1.949417018
167	1.947123661
168	1.945630712
169	1.943022671
170	1.941327858
171	1.939279703
172	1.937522372
173	1.935267875
174	1.934279224
175	1.932195463
176	1.930532275
177	1.928762027
178	1.926641313
179	1.924795499
180	1.923119204
181	1.921679946
182	1.919835152
183	1.917648124
184	1.915271934
185	1.913956274
186	1.912449373
187	1.909522971
188	1.908239886
189	1.906402747
190	1.905093993
191	1.903694701
192	1.902804825
193	1.90066995
194	1.899653133
195	1.897733373
196	1.896524899
197	1.895585942
198	1.89393271
199	1.891536502
200	1.890605743
201	1.888303632
202	1.887101778
203	1.885632991
204	1.883861397
205	1.881863982
206	1.880759159
207	1.879225329
208	1.877585353
209	1.875427083
210	1.873397808
211	1.872308062
212	1.870496917
213	1.869215419
214	1.867643689
215	1.866012257
216	1.864318032
217	1.862887566
218	1.861293767
219	1.859504897
220	1.856902144
221	1.855431135
222	1.853302565
223	1.850973425
224	1.849369698
225	1.847945762
226	1.84609974
227	1.844101084
228	1.843249661
229	1.842124326
230	1.840151851
231	1.838104746
232	1.837016608
233	1.835272659
234	1.833108743
235	1.831829988
236	1.82988415
237	1.828355233
238	1.826493294
239	1.824633577
240	1.823594654
241	1.822463429
242	1.821138357
243	1.819959294
244	1.818631006
245	1.81722892
246	1.815394178
247	1.813485051
248	1.811929146
249	1.809965225
250	1.809010478
251	1.8078985
252	1.805164808
253	1.803742572
254	1.80278262
255	1.801431405
256	1.799773134
257	1.798723701
258	1.79704777
259	1.795618835
260	1.793762169
261	1.792055106
262	1.790752995
263	1.789405256
264	1.787421521
265	1.786495285
266	1.78496464
267	1.784029212
268	1.782744966
269	1.780723888
270	1.778780296
271	1.777338886
272	1.775759096
273	1.77453863
274	1.773331227
275	1.771745066
276	1.769844601
277	1.768060329
278	1.766292407
279	1.764697332
280	1.762909296
281	1.761607753
282	1.75982862
283	1.758583502
284	1.757661472
285	1.756585113
286	1.755110684
287	1.753846512
288	1.752051144
289	1.750771033
290	1.748808698
291	1.747611323
292	1.746325614
293	1.745119795
294	1.743254662
295	1.741927308
296	1.740281272
297	1.739051255
298	1.738041742
299	1.73668248
300	1.73590946
301	1.734182465
302	1.732858851
303	1.732084573
304	1.730902611
305	1.729466183
306	1.728232544
307	1.726699306
308	1.725330875
309	1.724232276
310	1.723051487
311	1.721855817
312	1.720529029
313	1.719841218
314	1.718483581
315	1.717001832
316	1.715814174
317	1.714069412
318	1.713056311
319	1.711777594
320	1.710729361
321	1.710128509
322	1.708811286
