iter	Passed	Remaining
0	5	6827
1	10	6471
2	17	6823
3	22	6757
4	26	6254
5	31	6312
6	34	5926
7	37	5642
8	41	5432
9	44	5276
10	51	5607
11	55	5458
12	58	5326
13	61	5215
14	71	5612
15	76	5628
16	82	5769
17	87	5763
18	90	5635
19	100	5901
20	108	6108
21	115	6202
22	126	6478
23	136	6664
24	146	6866
25	150	6805
26	153	6667
27	156	6535
28	158	6417
29	165	6437
30	170	6411
31	172	6307
32	176	6244
33	183	6297
34	186	6210
35	189	6125
36	192	6055
37	196	6019
38	199	5946
39	202	5877
40	205	5810
41	208	5748
42	215	5795
43	218	5737
44	221	5677
45	224	5619
46	230	5650
47	233	5613
48	236	5561
49	239	5510
50	247	5565
51	250	5526
52	253	5480
53	256	5433
54	262	5455
55	267	5455
56	270	5416
57	273	5375
58	277	5368
59	280	5332
60	283	5294
61	286	5258
62	289	5229
63	295	5239
64	298	5220
65	301	5188
66	304	5157
67	310	5175
68	315	5167
69	318	5135
70	321	5104
71	326	5117
72	331	5120
73	334	5094
74	337	5066
75	344	5100
76	348	5078
77	351	5049
78	354	5024
79	359	5033
80	362	5005
81	367	5004
82	370	4981
83	374	4978
84	379	4980
85	382	4956
86	385	4933
87	390	4938
88	396	4946
89	399	4922
90	402	4900
91	408	4921
92	412	4913
93	415	4893
94	418	4871
95	424	4882
96	429	4881
97	432	4863
98	435	4843
99	440	4849
100	444	4831
101	447	4813
102	450	4795
103	453	4776
104	460	4803
105	465	4804
106	468	4786
107	474	4795
108	478	4792
109	482	4777
110	485	4760
111	492	4786
112	495	4769
113	498	4752
114	504	4762
115	510	4767
116	513	4751
117	516	4733
118	520	4730
119	523	4714
120	526	4698
121	529	4682
122	532	4666
123	537	4664
124	542	4661
125	545	4647
126	548	4631
127	553	4633
128	559	4648
129	565	4653
130	572	4673
131	577	4668
132	580	4655
133	583	4645
134	591	4664
135	594	4650
136	597	4637
137	603	4642
138	606	4628
139	609	4614
140	612	4600
141	615	4587
142	623	4607
143	626	4593
144	629	4580
145	635	4589
146	640	4588
147	643	4574
148	646	4562
149	655	4591
150	659	4579
151	662	4566
152	668	4573
153	673	4575
154	676	4562
155	679	4548
156	685	4553
157	688	4540
158	691	4528
159	694	4515
160	698	4505
161	705	4517
162	708	4506
163	711	4494
164	718	4503
165	722	4500
166	725	4488
167	728	4475
168	735	4484
169	739	4478
170	742	4465
171	745	4454
172	753	4472
173	758	4473
174	761	4462
175	766	4460
176	769	4448
177	772	4436
178	775	4424
179	778	4413
180	786	4427
181	789	4416
182	792	4405
183	799	4413
184	803	4409
185	806	4398
186	809	4386
187	817	4399
188	820	4388
189	823	4377
190	826	4366
191	836	4391
192	839	4380
193	842	4369
194	848	4372
195	851	4361
196	856	4361
197	859	4350
198	867	4363
199	870	4353
200	873	4343
201	879	4344
202	884	4345
203	887	4334
204	890	4323
205	898	4336
206	902	4327
207	905	4317
208	908	4306
209	915	4315
210	918	4305
211	921	4295
212	925	4287
213	929	4282
214	932	4273
215	936	4264
216	939	4254
217	942	4244
218	949	4253
219	954	4252
220	957	4241
221	965	4253
222	969	4245
223	972	4235
224	979	4243
225	984	4244
226	987	4234
227	993	4234
228	999	4237
229	1002	4227
230	1005	4219
231	1010	4217
232	1013	4208
233	1020	4214
234	1024	4208
235	1031	4213
236	1034	4203
237	1037	4194
238	1045	4205
239	1053	4215
240	1060	4219
241	1065	4216
242	1068	4208
243	1076	4218
244	1081	4214
245	1084	4204
246	1087	4194
247	1092	4192
248	1095	4182
249	1098	4172
250	1101	4163
251	1104	4154
252	1112	4163
253	1115	4154
254	1118	4145
255	1122	4139
256	1128	4142
257	1132	4134
258	1135	4125
259	1141	4126
260	1146	4123
261	1151	4121
262	1157	4122
263	1162	4121
264	1165	4112
265	1168	4103
266	1174	4103
267	1177	4094
268	1180	4086
269	1183	4077
270	1187	4069
271	1193	4073
272	1197	4065
273	1200	4056
274	1205	4056
275	1211	4054
276	1214	4046
277	1217	4038
278	1225	4044
279	1228	4036
280	1231	4028
281	1234	4019
282	1242	4027
283	1251	4035
284	1255	4032
285	1259	4023
286	1262	4016
287	1265	4007
288	1270	4003
289	1276	4004
290	1279	3997
291	1282	3989
292	1288	3989
293	1293	3986
294	1296	3977
295	1299	3969
296	1308	3977
297	1311	3969
298	1314	3960
299	1319	3957
300	1324	3957
301	1327	3948
302	1330	3939
303	1335	3937
304	1339	3930
305	1342	3923
306	1346	3916
307	1349	3908
308	1357	3913
309	1360	3906
310	1363	3897
311	1368	3895
312	1374	3894
313	1377	3885
314	1380	3877
315	1385	3874
316	1390	3874
317	1393	3865
318	1396	3857
319	1402	3857
320	1412	3866
321	1416	3861
322	1419	3854
323	1422	3845
324	1425	3838
325	1433	3842
326	1439	3842
327	1444	3839
328	1447	3831
329	1455	3837
330	1458	3829
331	1461	3821
332	1467	3821
333	1474	3822
334	1477	3814
335	1480	3807
336	1488	3810
337	1491	3803
338	1494	3795
339	1500	3795
340	1503	3787
341	1506	3780
342	1510	3773
343	1514	3769
344	1520	3767
345	1523	3760
